[[-46.49644948569525, 72.4725828576515], [-24.386714116257195, 28.217882328545986], [-74.35850241842363, 120.5982887092201], [-10.328306689887803, 16.661946447655975], [-83.188734003696, 141.67576117044786]]
[[-45.07516654462566, 72.67420703334302], [-18.0242093099254, 27.95150232833092], [-76.42662435550623, 126.96510095903167], [-10.3980691637338, 14.676073076764368], [-99.14987139154138, 149.9579873468026]]
[[-45.1851758246649, 70.62528193279815], [-24.693853769037386, 38.023698461812344], [-83.45881066525729, 130.00778067884772], [-10.432351333157161, 16.724442197919576], [-97.28167142223754, 152.21050458068407]]
[[-41.89249784128597, 62.41474719287651], [-26.874011373060085, 39.345813528347925], [-76.91620468764191, 129.48559498981473], [-8.859838208877896, 13.304743166985675], [-84.83366416275778, 143.28520415532086]]
[[-49.60761623426643, 76.01989530021726], [-22.273714703239328, 32.02409148798564], [-80.96510095903167, 125.98136022087157], [-10.815810542965275, 16.724442197919576], [-89.6331512045897, 151.52243969951215]]
[[-45.07516654462566, 66.60709714426287], [-18.215928596874633, 15.881922299998859], [-83.01858050663847, 125.45553944000667], [-10.1837178115272, 16.661946447655975], [-87.436396156843, 136.410627178815]]
[[-46.33788058522393, 75.17114744334374], [-25.668940292611964, 33.668940292611964], [-75.71955431359626, 121.57175863800649], [-10.693357058128598, 16.661946447655975], [-91.54966218976158, 154.51150017812245]]
[[-43.02753298960333, 60.10362577140255], [-25.802951842827078, 30.871744411393102], [-83.45881066525729, 126.38567005460521], [-8.170139028562177, 13.091163357389231], [-94.12988722060732, 149.67616551652657]]
[[-44.44026068918029, 69.3871173823658], [-19.488892097600772, 24.205843588799876], [-79.62291451155708, 125.71455033366972], [-9.13826177812934, 13.411130881773833], [-92.39353499409309, 139.27825791701437]]
[[-40.65484361070323, 67.87752556708344], [-25.039817458074108, 30.165946600441313], [-80.50340521854807, 126.56076798963552], [-9.437035164932981, 13.33176753563594], [-94.18813275382881, 145.98471215830466]]
[[-49.755750089061216, 70.92477686523323], [-19.39718156414469, 30.373181632013335], [-71.67199600740477, 116.18684729934189], [-10.661946447655975, 16.499762325806984], [-97.99778170753184, 153.36861244280016]]
[[-46.144632424982156, 71.55452899229266], [-19.9392112771954, 19.307683881305973], [-77.28439589333487, 119.01949567342557], [-8.955379067155082, 12.825101873714988], [-96.64944289199534, 153.52243969951215]]
[[-36.69707720899669, 63.27574599689644], [-17.62736476419328, 18.380883420537693], [-79.39246924052452, 131.98769009565893], [-9.017102977620802, 13.113656150807397], [-96.6137254510288, 153.0709630886294]]
[[-43.13581138222436, 63.86498467565008], [-23.141200658845573, 38.38216078486159], [-82.05506597920666, 122.53079897294599], [-7.9998415505379885, 9.999841550537989], [-96.68496424318352, 151.7666662955529]]
[[-42.96654256654744, 64.26276720153125], [-18.872705521081887, 25.56098167500674], [-78.78948741782676, 130.31982051465815], [-10.146454880586099, 16.22052357314496], [-97.0912262034453, 136.31332840996626]]
[[-41.86281477140153, 69.38316094539657], [-20.348537700574216, 20.39718156414469], [-80.3950271964507, 125.04187969287355], [-9.437035164932981, 13.411130881773833], [-96.04889247190766, 157.8740721036367]]
[[-50.04739692362469, 78.04739692362469], [-22.78535171081184, 33.73629142882575], [-78.45266207695792, 122.35850241842363], [-9.13615892140847, 13.162620133382392], [-95.2325727482896, 147.2803060043771]]
[[-38.74908891559343, 68.80013731045113], [-18.034423436524207, 22.289680987765603], [-77.98590782072345, 125.24821744355238], [-9.488052137836057, 13.33176753563594], [-98.07096308862943, 138.20766267326155]]
[[-36.930981098860414, 57.182771825557815], [-25.01655087563729, 37.86542291013575], [-80.74158943202914, 129.13575657964242], [-10.565691800382812, 15.985958216193508], [-89.99140149686984, 148.68052695429446]]
[[-47.47019520950601, 72.5004572780438], [-20.563126800178633, 30.7961383274676], [-80.71853025529246, 114.85731353990708], [-10.78566256540327, 16.78566256540327], [-102.96379437133106, 149.63018793943246]]
[[-45.92477686523323, 63.61036175869171], [-21.27231784281694, 23.160137391524742], [-81.61669375884675, 130.00778067884772], [-9.384955373046646, 13.13615892140847], [-98.61312347023957, 152.16985517260633]]
[[-46.642602077660435, 68.58233948462684], [-18.715676945192605, 22.400177452643245], [-82.98240411231926, 125.24122062832932], [-8.128904705419066, 10.503826648630689], [-92.79617354591014, 161.36911822857644]]
[[-42.091842311236576, 58.95525576083833], [-18.854128105653057, 19.307683881305973], [-79.39246924052452, 132.5255344030625], [-9.304743166985675, 13.304743166985675], [-90.7345895444925, 151.802155581208]]
[[-41.88209429257984, 62.48715701681593], [-19.307683881305973, 27.72733739282708], [-74.63586705515503, 124.39246924052452], [-10.755208542843267, 16.532908171767794], [-102.67448115701103, 158.08689205222169]]
[[-41.65484361070323, 68.44375364004301], [-20.586663296879365, 37.191632731455044], [-77.50491745912822, 124.98590782072345], [-7.892898140051544, 13.302929199337074], [-96.53287116193731, 152.5328711619373]]
[[-44.129078693760086, 69.9344614933785], [-22.708334629261014, 34.221787729514645], [-71.91346602436505, 125.30618302999572], [-10.78566256540327, 16.26097702584319], [-82.98769009565895, 146.25357404026124]]
[[-44.16190205110923, 64.12613066392532], [-18.854128105653057, 21.396600294605072], [-71.27064052826529, 124.66749053146447], [-10.598121042763127, 16.43235133315716], [-90.88052137836058, 132.38542663431275]]
[[-38.49986774178524, 57.303720007944825], [-24.396184107100158, 38.04495649802905], [-85.04162783017102, 130.08781620674552], [-10.630203478771378, 16.78566256540327], [-101.38194639987049, 155.3819463998705]]
[[-44.35117795460187, 76.52432276409107], [-23.217446560407854, 26.102162070216234], [-80.67989386123962, 126.71853025529246], [-9.437035164932981, 13.165057636444832], [-89.19753755283233, 153.5853100231773]]
[[-40.322041618817096, 61.97037892693539], [-20.744750467481467, 28.845011898886227], [-76.11188000487766, 134.04166834274614], [-10.289977564332268, 16.28997756433227], [-101.9475650676759, 146.61213745217134]]
[[-35.4754936014784, 56.20366789548236], [-22.810331648240954, 26.383537876307287], [-74.99819850839454, 122.55901299081688], [-9.129680073130473, 15.569418737102037], [-91.42664093852942, 156.08239717899895]]
[[-39.108669431770366, 67.3871173823658], [-24.310307202337523, 32.767956054699184], [-82.51861483497783, 128.25226132785065], [-10.432351333157161, 16.04937839955634], [-92.36550602825781, 146.98471215830466]]
[[-45.60216591189782, 68.91511819517089], [-19.719682320879148, 25.427388065879924], [-85.54685646502878, 125.96731413573855], [-10.146454880586099, 16.111434748386195], [-95.89132136556793, 147.0432845669298]]
[[-45.1294438499512, 68.12907869376008], [-20.249643488710475, 22.63928116205174], [-82.92121416273378, 119.98584189766918], [-9.952864313944636, 16.532908171767794], [-89.8567295695567, 152.64492997718168]]
[[-43.41065093520737, 73.74893046613141], [-21.563126800178633, 30.196242085526254], [-70.99421389400028, 120.3090526031824], [-10.724442197919576, 16.080573377391506], [-83.50813055037001, 133.75710558983906]]
